,,,,,,,,,,,,
Type,Aircraft,Aircraft ID,Nation,Commander,Take off Base ,Target ,Date of Mission,Take off Time,Reason for Crash ,Latitude,Longitude ,Location
Crash,P-51 Mustang,F-6D 44-14,USA,lt.charles Garner,Biak Island,Wama Airfield,4/12/1944,3:00 PM,"Bad weather and 
low fuel",1.7261,128.3408,20 miles south of Morotai Island
Crash,P-51 Mustang,"P-51D ""Madam Wham-Dam"" 44-72607",USA,Lt.Col Harvey J Scandrett,North Field (APO 86) (Iwo Jima),Osaka,01-06-1945,7:20 AM,Bad Weather ,31,137,Approx 340 km south of Osaka (last radio contact)
Crash,P-51 Mustang,P-51D 44-73369,USA,Lt. Paul Ewalt,North Field (APO 86) (Iwo Jima),Kumagaya,03-08-1945,NA,Anti Aircraft Fire,35.3,139.3,Crashed Near Oiso
Crash,B-17E,B-17E 41-2435,USA,1st Lt William H. Watson,7 Mile Drome (Port Moresby),Australia,02-08-1942,NA,Japanese Zero,-8.0489,148.1339,"Shot by Japanese zeros, crashed near Mitre rock, cape ward Hunt"
Crash,Curtiss SBC2,SB2C-3 19422,USA,Commander Mark Eslick Jr,USS Intrepid (CV-11),"(Kiirun Harbor, Keelung Harbor)
North Taiwan",12-10-1944,6:16 AM,Unknown,25.1558,121.7544,Crashed near Keelung Harbour Tiwan
Crash,B-17F,"B-17F ""Listen Here Tojo"" 41-24552",USA, 1st Lt. Howard G. Eberly,7 Mile Drome (Port Moresby),Lae(Papua New Guniea),15-09-1943,NA,Bad Weather ,−7.2700,146,Approx 10-12 miles left of Wau 
Crash,B-17F,B-17F 41-24538,USA,"Captain Jean A. Jack,",7 Mile Drome (Port Moresby),Lakunai Airfield (Near Rabaul),05-01-1943,NA,Japanese Zero,−9.2161,150.8642,"Crash 200 Yards off the coast of Urasi Island (Direction unknown, 
so assumed as per convinience)"
Crash,B-17F,"B-17F ""Fightin Swede"" 41-24520 ",USA,Captain Robert N. Keatts,7 Mile Drome (Port Moresby),Madang and Saidor,08-05-1943,6:40 AM,"Japanese Aircraft 
(Type 1 Fighter)",-4.5,145.8,Near Mandang
Crash,B-17F,"B-17F ""Reckless Mountain Boys"" 41-24518",USA,"Captain Byron L. ""Dutch"" Heichel",7 Mile Drome (Port Moresby),Kavieng ,07-05-1943,Morning,"Japanese Aircraft
(Zero)",-3.5378,152.2253,50 Yards near Komalu
Crash,B-17F,"B-17F ""Georgia Peach"" 41-24454 ",USA,1st Lt. John M. Woodard,7 Mile Drome (Port Moresby),"Vunakanau Airfield (Near
Rabaul)",13-06-1943,NA,"Japanese Aircraft(
J1N1 Irving night fighter )",-4.9444,151.5769,Crashsite Northeast of Sule (Coordinates Assumed)
Crash,B-17F Dumbo,"B-17F ""Dumbo"" 41-24429",USA,1st Lt Lewis A. Anderson,7 Mile Drome (Port Moresby),Buna,03-12-1942,11:25 PM,Bad Weather ,-6.6667,147.6833,8-10 Miles SW of Finschafen 
Crash, B-24 Liberator,"""Baby Sandy 2"" Serial Number 42-73013  ",USA,"1st Lt. Ivan M. Osborne,",Tarawa Airfield (Hawkins),  Taroa Airfield (Maloelap Atoll),29-12-1943,NA,"Japanese Aircraft
(Zero)",7.19928,171.0523,west reef between Majuro Island and Ajola Island
Crash,B-25 Mitchell,41-30613,USA,F/O John Alexander Johnston,"Mullinix Airfield, Bonriki Island ","Mili Airfield, mili island",19-1-1944,NA,Anti Aircraft Gun Fire,6.088611,171.749722,eastern side of Milli Island
Crash,F6F Hellcat,NIL,USA,NIL,NIL,NIL,NIL,NIL,NIL,–8.153611,156.943333,East of Fergusson Bay
Crash,F6F Hellcat," ""Betsy-II""  25839",USA,"Lt(jg) Richard ""Dick"" W. Moore",Munda Airfield,Ballale Island,16-09-1943,1:15 PM,Fire from Friendly Aircraft,–8.141111,157.076111,Blackett Strait (Quomu Island --- not found)
Crash,F6F Hellcat,25853,USA,Lt(jg) Frank E. Schneider,"Ondonga Airfield, New georgia","Tobera Airfield, Rabaul",09-01-1944,NA,NIL,–4.432778,152.398611,East of Kabanga Bay
Crash,B-25 Mitchell,Sorry Satchul 41-30056,USA,1st Lt. Harlan H. Peterson,Dobodura Airfield,Rabaul,18-10-1944,NA,Enemy Aircraft,-4.706803,152.646231,Middle of St George's channel (source : traces of war)
Crash,F4U-1A Corsair,"
  F4U-1A Corsair NZ5207  ",USA, Squadron Leader John C. Blundell,"Torokina Airfield, Bougainville ","Petrol from Cape Gazelle to 
Cape Archway",30-06-1944,NA,Anti Aircraft Fire,-4.6835,152.399488,Sumsum Bay
Crash,B-25D-25 Mitchell,B-25D-25 Mitchell 42-87320,USA,Captain Edwin M. Shanks,Stirling Airfield,Rabaul,08-03-1944,NA,Enemy Aircraft,-4.88085,152.854478,South of Cape Saint George
Crash,Bristol Beaufighter Mark VIc,A19-97  ,USA, F/L Derrick Robert Stone,Dobodura Airfield,"Tobera Airfield, Rabaul",12-10-1943,NA,NIL,-4.492896,152.327048,"Ganai, 40 KM SE of Rabaul"
Crash,B-17E Flying Fortress,41-2643  ,USA,1st Lt. Hugh S. Grundmann,7 Mile Drome (Port Moresby),Lakunai Airfield (Near Rabaul),09-08-1942,NA,Enemy Aircraft (Zero),-4.382704,152.370973,Makurapau Plantation 
Crash, F4U-1A Corsair,17915 Code 915,USA,"Major Gregory ""Pappy"" Boyington","Torokina Airfield, Bougainville ",Rabaul,03-01-1944,6:30 AM,Enemy Aircraft (Zero),-4.749755,152.614515, Saint Georges Channel
Crash,P-40N-1-CU Kittyhawk,NZ3126 Code C,USA,Sgt Bruce Nicholson,"Torokina Airfield, Bougainville ",Lakunai Airfield (Near Rabaul),05-02-1944,NA,NA,-4.809273,152.64519, Saint Georges Channel
